PCI,latitude,longitude,device,rsrp
D,36.00255183,-78.94207795,Samsung,-120
C,36.00037765,-78.93755356,Samsung,-132
C,35.99986178,-78.93658916,Samsung,-118
C,35.99972104,-78.93697843,Samsung,-123
D,35.99973438,-78.93690304,Samsung,-108
C,35.9997207,-78.9369569,Samsung,-127
C,35.99992884,-78.93741553,Samsung,-113
D,35.99974658,-78.9368789,Samsung,-110
D,35.99974806,-78.93703669,Samsung,-111
D,35.99999677,-78.93739252,Samsung,-111
C,35.9998749,-78.93659522,Samsung,-119
C,35.99973438,-78.93690304,Samsung,-127
C,36.00313267,-78.93776635,Samsung,-133
C,36.00343107,-78.94096641,Samsung,-135
C,36.00025769,-78.93647322,Samsung,-132
F,36.00256922,-78.93611836,Samsung,-117
C,35.999984,-78.93738813,Samsung,-120
F,36.00274212,-78.93557134,Samsung,-121
C,36.00059142,-78.9378453,Samsung,-130
C,35.99974658,-78.9368789,Samsung,-127
C,36.00064449,-78.9379324,Samsung,-126
D,36.00271862,-78.94204545,Samsung,-123
D,36.00340292,-78.94153741,Samsung,-128
D,36.00335798,-78.94151376,Samsung,-128
D,36.00287417,-78.94203079,Samsung,-119
D,36.00334079,-78.94150864,Samsung,-127
F,36.00265041,-78.9354762,Samsung,-123
F,36.00273999,-78.93559763,Samsung,-122
F,36.00273763,-78.93565677,Samsung,-122
D,35.99983588,-78.93659067,Samsung,-111
D,36.00251192,-78.94207478,Samsung,-112
C,36.00312195,-78.94172487,Samsung,-123
D,36.00056324,-78.9378061,Samsung,-110
C,36.00310572,-78.9417396,Samsung,-135
C,36.00326373,-78.94183602,Samsung,-128
D,36.00332159,-78.94150631,Samsung,-129
D,36.00294462,-78.9420014,Samsung,-119
C,36.00330281,-78.94151333,Samsung,-129
D,36.00330281,-78.94151333,Samsung,-126
C,36.00340328,-78.94181604,Samsung,-128
C,36.00054013,-78.93776375,Samsung,-130
D,36.00336278,-78.94137218,Samsung,-129
D,36.00289853,-78.94202205,Samsung,-122
D,35.99986178,-78.93658916,Samsung,-117
C,36.00164931,-78.93716866,Samsung,-126
C,36.00318491,-78.94165735,Samsung,-127
F,36.0025419,-78.93614872,Samsung,-116
D,36.00277285,-78.94205808,Samsung,-122
D,36.00310147,-78.94189418,Samsung,-121
D,36.00335,-78.94183701,Samsung,-127
C,36.00336278,-78.94137218,Samsung,-127
D,36.00342239,-78.94178263,Samsung,-130
D,36.00027624,-78.93749428,Samsung,-115
D,36.00330499,-78.94184106,Samsung,-131
E,36.00122351,-78.93640342,Samsung,-117
D,36.00284232,-78.94204884,Samsung,-123
C,36.00332159,-78.94150631,Samsung,-129
C,36.00054942,-78.93778629,Samsung,-130
E,36.00089299,-78.93645224,Samsung,-128
F,36.00112393,-78.93639208,Samsung,-110
C,36.00337451,-78.94127493,Samsung,-128
C,36.00309131,-78.94175457,Samsung,-135
C,35.99975224,-78.93685488,Samsung,-127
D,36.00046717,-78.93759814,Samsung,-110
C,35.99980301,-78.93659482,Samsung,-114
D,36.00328779,-78.94152636,Samsung,-126
D,36.0033259,-78.94183971,Samsung,-130
C,36.00313512,-78.94170849,Samsung,-135
C,36.00334079,-78.94150864,Samsung,-130
C,36.00328458,-78.94183877,Samsung,-131
D,35.999967,-78.93660995,Samsung,-118
C,36.00334282,-78.94144067,Samsung,-126
F,36.00114081,-78.93638961,Samsung,-109
C,35.99984823,-78.93658788,Samsung,-114
C,35.99979032,-78.93661251,Samsung,-114
D,35.99982001,-78.93659035,Samsung,-110
D,35.99974906,-78.93768499,Samsung,-106
C,36.00160858,-78.93711127,Samsung,-126
C,36.0034232,-78.94101206,Samsung,-134
F,36.00229419,-78.94031019,Samsung,-112
C,36.0010944,-78.93829802,Samsung,-109
C,36.00112928,-78.93910731,Samsung,-116
C,36.00152884,-78.93946231,Samsung,-124
F,36.00306838,-78.9377277,Samsung,-102
E,36.00112545,-78.93813957,Samsung,-101
E,36.00312889,-78.93749865,Samsung,-100
F,36.00209929,-78.93690508,Samsung,-105
E,36.00237846,-78.93769749,Samsung,-70
D,36.00347298,-78.93760631,Samsung,-128
E,36.00258697,-78.93804639,Samsung,-93
D,36.00374018,-78.93765935,Samsung,-131
E,36.00367819,-78.93790239,Samsung,-117
C,35.99887073,-78.93984375,Samsung,-121
E,36.00131069,-78.93710252,Samsung,-105
C,35.99952691,-78.9403028,Samsung,-110
F,36.00308577,-78.93752626,Samsung,-102
F,36.00149166,-78.93726285,Samsung,-110
E,36.0037892,-78.9372132,Samsung,-120
E,36.00303067,-78.93757061,Samsung,-100
F,36.00287274,-78.93863137,Samsung,-116
D,36.0027275,-78.93868378,Samsung,-127
D,36.00355027,-78.9392224,Samsung,-129
E,36.00247107,-78.93790227,Samsung,-87
F,36.00403857,-78.93950484,Samsung,-126
D,36.00319356,-78.93762793,Samsung,-126
F,36.00286504,-78.93506194,Samsung,-134
E,36.00271925,-78.93622215,Samsung,-109
D,36.00226675,-78.93645302,Samsung,-111
D,36.00266588,-78.93653144,Samsung,-125
C,36.00257493,-78.9360085,Samsung,-135
E,36.00252781,-78.93622878,Samsung,-107
C,36.00341533,-78.94113981,Samsung,-126
C,36.00277782,-78.94118545,Samsung,-125
F,36.00280199,-78.93686844,Samsung,-103
C,36.00328779,-78.94152636,Samsung,-131
D,36.00264798,-78.9409553,Samsung,-129
C,36.0015882,-78.94010802,Samsung,-118
F,36.00199559,-78.93669091,Samsung,-98
F,36.00165203,-78.93601467,Samsung,-112
E,36.0021827,-78.93801045,Samsung,-91
D,36.00231043,-78.94030682,Samsung,-128
E,36.00306696,-78.93950505,Samsung,-123
F,36.00299414,-78.93952679,Samsung,-128
C,36.00318649,-78.93772166,Samsung,-133
F,35.99959243,-78.93968397,Samsung,-109
E,36.00333032,-78.93759429,Samsung,-101
E,36.00221306,-78.93667802,Samsung,-99
E,36.00257737,-78.93751567,Samsung,-81
