centroid_lon,centroid_lat,height,base_height,height_above_ground
-74.00725622889017,40.71409478975923,44.1,0.0,44.1
-74.00680048274378,40.71406464259575,21.1,0.0,21.1
-74.00514663504727,40.71472549378668,144.5,0.0,144.5
-74.0038865538551,40.71402154064083,84.6,0.0,84.6
-74.00732730330644,40.71367798196837,39.6,0.0,39.6
-74.00748442624636,40.71341184652575,62.1,0.0,62.1
-74.0072749486649,40.71349696690394,68.0,0.0,68.0
-74.00462929970202,40.714324850208754,26.1,0.0,26.1
-74.00399791129395,40.71423681540853,40.7,0.0,40.7
-74.00562457628912,40.71421108652592,32.1,0.0,32.1
-74.0069707574502,40.714274910544894,17.5,0.0,17.5
-74.00698309228112,40.7139397330468,46.0,0.0,46.0
-73.99990187420252,40.71242897817439,14.0,0.0,14.0
-74.00077251761437,40.71373437720894,140.0,0.0,140.0
-74.00006982041222,40.71356419350513,4.8,0.0,4.8
-74.00198739193772,40.71309582676774,18.5,0.0,18.5
-74.00243243817596,40.71336114012566,16.1,0.0,16.1
-74.00153917534485,40.71318910913516,44.2,0.0,44.2
-74.00267137326998,40.713336635146725,22.1,0.0,22.1
-74.00238616852134,40.71298658855386,44.0,0.0,44.0
-74.00187431227884,40.71329185025078,17.5,0.0,17.5
-74.00370216620308,40.71253009258033,4.7,0.0,4.7
-74.00215051771605,40.713236400472375,14.0,0.0,14.0
-74.00178487690592,40.7121849083114,14.0,0.0,14.0
-74.00114849666376,40.71729912722135,22.9,0.0,22.9
-74.00089117188116,40.71719509571458,35.3,0.0,35.3
-74.00088597411518,40.71770138375396,48.6,0.0,48.6
-74.00081551482918,40.71750871905707,35.3,0.0,35.3
-74.00591306092475,40.71652498172914,170.0,0.0,170.0
-74.00705900034369,40.71487690977739,21.0,0.0,21.0
-74.0045060175082,40.71452933591446,17.5,0.0,17.5
-74.00193306555067,40.71776183839793,27.0,0.0,27.0
-74.0023977112225,40.712390702099185,3.0,0.0,3.0
-74.00599327017655,40.71275102778208,36.6,0.0,36.6
-74.00554998543856,40.71338841892768,25.0,0.0,25.0
-74.00491684999997,40.71296200000055,2.0,0.0,2.0
-74.00333514998998,40.71357815000632,0.0,0.0,0.0
-74.00656025000033,40.71257265000139,3.0,0.0,3.0
-74.00492165951769,40.712799690701594,3.0,0.0,3.0
-74.00711110000043,40.712860650000664,3.0,0.0,3.0
-74.00545251668841,40.71280420513914,3.0,0.0,3.0
-74.00530396711045,40.71244730110097,3.0,0.0,3.0
-74.0008994097205,40.7128122247673,3.0,0.0,3.0
-74.00322514998997,40.71351795000632,0.0,0.0,0.0
-74.0026759172566,40.71468480220328,21.0,0.0,21.0
-74.0042391306468,40.71237158642973,21.0,0.0,21.0
-74.00438651379734,40.712495708431014,17.5,0.0,17.5
-74.00105880000187,40.713159300003404,3.0,0.0,3.0
-74.00248676723629,40.71417100172713,3.0,0.0,3.0
-74.00024683268343,40.71348761935968,3.0,0.0,3.0
-74.00031270000159,40.71327290000439,17.5,0.0,17.5
-74.001635167515,40.71260185413331,4.0,0.0,4.0
-74.00130994090893,40.71270474708509,6.0,0.0,6.0
-74.00096852093218,40.71316339126294,3.0,0.0,3.0
-74.00028630000196,40.71407400000016,3.0,0.0,3.0
-74.00352197409123,40.71562741727766,4.0,0.0,4.0
-74.00421990044049,40.71727513231123,7.0,0.0,7.0
-74.00364841660716,40.71442364840556,3.5,0.0,3.5
-74.0043258897619,40.7148469581307,3.5,0.0,3.5
-74.00605509841839,40.71571058166674,14.0,0.0,14.0
-74.00082385112205,40.71707163284526,14.0,0.0,14.0
-74.00627567595694,40.715006169635316,14.0,0.0,14.0
